pool_frac,seed,n_served,n_requests,frac_pqc
0.2155555555555555,14,3,3,0.6666666666666666
0.2155555555555555,15,3,3,0.6666666666666666
0.2155555555555555,16,3,3,0.6666666666666666
0.2155555555555555,17,3,3,1.0
0.2155555555555555,18,3,3,0.6666666666666666
0.2155555555555555,19,3,3,0.6666666666666666
0.2155555555555555,20,3,3,0.0
0.2155555555555555,21,3,3,1.0
0.2155555555555555,22,3,3,0.3333333333333333
0.2155555555555555,23,3,3,0.0
0.2155555555555555,24,3,3,1.0
0.2155555555555555,25,3,3,0.6666666666666666
0.2155555555555555,26,3,3,0.3333333333333333
0.2155555555555555,27,3,3,0.0
0.2155555555555555,28,3,3,1.0
0.2155555555555555,29,3,3,0.6666666666666666
0.11777777777777776,0,3,3,0.3333333333333333
0.11777777777777776,1,3,3,0.6666666666666666
0.11777777777777776,2,3,3,0.3333333333333333
0.11777777777777776,3,3,3,1.0
0.11777777777777776,4,3,3,1.0
0.11777777777777776,5,3,3,0.6666666666666666
0.11777777777777776,6,3,3,0.6666666666666666
0.11777777777777776,7,3,3,0.3333333333333333
0.11777777777777776,8,3,3,0.3333333333333333
0.11777777777777776,9,3,3,0.6666666666666666
0.11777777777777776,10,3,3,0.6666666666666666
0.11777777777777776,11,3,3,0.6666666666666666
0.11777777777777776,12,3,3,0.6666666666666666
0.11777777777777776,13,3,3,1.0
0.11777777777777776,14,3,3,0.6666666666666666
0.11777777777777776,15,3,3,0.6666666666666666
0.11777777777777776,16,3,3,0.6666666666666666
0.11777777777777776,17,3,3,1.0
0.11777777777777776,18,3,3,0.6666666666666666
0.11777777777777776,19,3,3,0.6666666666666666
0.11777777777777776,20,3,3,0.0
0.11777777777777776,21,3,3,1.0
0.11777777777777776,22,3,3,0.3333333333333333
0.11777777777777776,23,3,3,0.0
0.11777777777777776,24,3,3,1.0
0.11777777777777776,25,3,3,0.6666666666666666
0.11777777777777776,26,3,3,0.3333333333333333
0.11777777777777776,27,3,3,0.0
0.11777777777777776,28,3,3,1.0
0.11777777777777776,29,3,3,0.6666666666666666
0.02,0,3,3,0.3333333333333333
0.02,1,3,3,0.6666666666666666
0.02,2,3,3,0.3333333333333333
0.02,3,3,3,1.0
0.02,4,3,3,1.0
0.02,5,3,3,0.6666666666666666
0.02,6,3,3,0.6666666666666666
0.02,7,3,3,0.3333333333333333
0.02,8,3,3,0.3333333333333333
0.02,9,3,3,0.6666666666666666
0.02,10,3,3,0.6666666666666666
0.02,11,3,3,0.6666666666666666
0.02,12,3,3,0.6666666666666666
0.02,13,3,3,1.0
0.02,14,3,3,0.6666666666666666
0.02,15,3,3,0.6666666666666666
0.02,16,3,3,0.6666666666666666
0.02,17,3,3,1.0
0.02,18,3,3,0.6666666666666666
0.02,19,3,3,0.6666666666666666
0.02,20,3,3,0.0
0.02,21,3,3,1.0
0.02,22,3,3,0.3333333333333333
0.02,23,3,3,0.0
0.02,24,3,3,1.0
0.02,25,3,3,0.6666666666666666
0.02,26,3,3,0.3333333333333333
0.02,27,3,3,0.0
0.02,28,3,3,1.0
0.02,29,3,3,0.6666666666666666
