w_R,w_L,seed,mean_risk,mean_latency_ms,mean_pool_pressure
0.2,0.5,15,0.12809375509834411,3.1874999999999996,0.09853010950941135
0.2,0.5,16,0.06311209099592324,6.2,0.08346585529063152
0.2,0.5,17,0.06404248721552915,4.4375,0.06957334473037466
0.2,0.5,18,0.1380515959615449,4.2625,0.18819416306009273
0.2,0.5,19,0.1885574566786252,5.2875000000000005,0.10257780861126153
0.2,0.5,20,0.2158232919573013,6.025,0.1498827283387018
0.2,0.5,21,0.14347905447022125,4.15,0.08804322612681986
0.2,0.5,22,0.12130781338631759,7.1625,0.16019190184973292
0.2,0.5,23,0.22732159097201704,5.625,0.3017524401435495
0.2,0.5,24,0.04086038702327043,3.5875,0.0
0.2,0.5,25,0.09430861630675283,4.325,0.052879821804600796
0.2,0.5,26,0.18845019243158492,3.0125,0.22639729100800485
0.2,0.5,27,0.19041634357052595,8.125,0.3855139325737491
0.2,0.5,28,0.09465056974166193,3.3,0.08262600031727582
0.2,0.5,29,0.09314060979797129,4.6625,0.18522274292495877
0.2,1.0,0,0.17149465055857852,4.175,0.40139450673123767
0.2,1.0,1,0.12275306677496955,3.1875,0.10162458917489434
0.2,1.0,2,0.1839336656068155,6.5375,0.258315884161072
0.2,1.0,3,0.051392260134973736,3.5875,0.0
0.2,1.0,4,0.08971962099403684,3.4124999999999996,0.08778714614378752
0.2,1.0,5,0.06844347418458316,4.0375,0.12678679181583316
0.2,1.0,6,0.06972857028299455,4.225,0.1328548034522788
0.2,1.0,7,0.11532226335187255,4.15,0.20040073198640312
0.2,1.0,8,0.191916213088488,6.65,0.18962293935204722
0.2,1.0,9,0.10703764740743761,4.05,0.1807977380571279
0.2,1.0,10,0.11503985997413094,3.925,0.11992342427137699
0.2,1.0,11,0.07396095574963364,3.9250000000000003,0.07672706402970318
0.2,1.0,12,0.059728739113267176,4.324999999999999,0.14282693487538567
0.2,1.0,13,0.04623967659203382,2.05,0.0
0.2,1.0,14,0.10945716365455556,4.0375,0.13802171482521283
0.2,1.0,15,0.12809375509834411,3.1874999999999996,0.09853010950941135
0.2,1.0,16,0.06324916530595862,3.7124999999999995,0.13349061153781394
0.2,1.0,17,0.06404248721552915,4.4375,0.06957334473037466
0.2,1.0,18,0.1380515959615449,4.2625,0.18819416306009273
0.2,1.0,19,0.1885574566786252,5.2875000000000005,0.10257780861126153
0.2,1.0,20,0.2158232919573013,6.025,0.1498827283387018
0.2,1.0,21,0.14347905447022125,4.15,0.08804322612681986
0.2,1.0,22,0.15676999888052848,4.675,0.18362729520428894
0.2,1.0,23,0.23382611004666565,4.375,0.3407136773519557
0.2,1.0,24,0.04086038702327043,3.5875,0.0
0.2,1.0,25,0.09430861630675283,4.325,0.052879821804600796
0.2,1.0,26,0.18845019243158492,3.0125,0.22639729100800485
0.2,1.0,27,0.2162148195368577,5.6375,0.41414226328200354
0.2,1.0,28,0.09465056974166193,3.3,0.08262600031727582
0.2,1.0,29,0.09314060979797129,4.6625,0.18522274292495877
0.2,1.5,0,0.17149465055857852,4.175,0.40139450673123767
0.2,1.5,1,0.12275306677496955,3.1875,0.10162458917489434
0.2,1.5,2,0.13576597970923693,6.199999999999999,0.17875349866155127
0.2,1.5,3,0.051392260134973736,3.5875,0.0
0.2,1.5,4,0.08971962099403684,3.4124999999999996,0.08778714614378752
0.2,1.5,5,0.06844347418458316,4.0375,0.12678679181583316
0.2,1.5,6,0.06972857028299455,4.225,0.1328548034522788
0.2,1.5,7,0.11532226335187255,4.15,0.20040073198640312
0.2,1.5,8,0.191916213088488,6.65,0.18962293935204722
0.2,1.5,9,0.10703764740743761,4.05,0.1807977380571279
0.2,1.5,10,0.11503985997413094,3.925,0.11992342427137699
0.2,1.5,11,0.07396095574963364,3.9250000000000003,0.07672706402970318
0.2,1.5,12,0.059728739113267176,4.324999999999999,0.14282693487538567
0.2,1.5,13,0.04623967659203382,2.05,0.0
0.2,1.5,14,0.10945716365455556,4.0375,0.13802171482521283
0.2,1.5,15,0.12809375509834411,3.1874999999999996,0.09853010950941135
