seed,solver,objective,runtime_s,violations,approximation_ratio
19,QAOA(p=2),1.6867889790986794,3.439870267000515,0,1.375906399418825
20,Exact,1.7048169456230369,0.002512752005713992,0,1.0
20,Greedy,1.7048169456230369,2.4349006707780063e-05,0,1.0
20,MILP,1.7048169456230369,0.001167460999567993,0,1.0
20,SimulatedAnnealing,1.7048169456230369,0.013236207989393733,0,1.0
20,Q-Learning,1.7048169456230369,0.05411429599917028,0,1.0
20,QAOA(p=2),3.241300814775613,3.185141444002511,1,1.90126032187641
21,Exact,0.9500309013074144,0.0021296400082064793,0,1.0
21,Greedy,0.9500309013074144,3.44440049957484e-05,0,1.0
21,MILP,0.9500309013074144,0.0014437559875659645,0,1.0
21,SimulatedAnnealing,0.9500309013074144,0.019772343002841808,0,1.0
21,Q-Learning,0.9500309013074144,0.05410338399815373,0,1.0
21,QAOA(p=2),1.849028534054625,3.5728398229985032,1,1.9462825172423626
22,Exact,0.6566254283866471,0.002379371988354251,0,1.0
22,Greedy,0.6566254283866471,5.4930002079345286e-05,0,1.0
22,MILP,0.6566254283866471,0.0016195930074900389,0,1.0
22,SimulatedAnnealing,0.6566254283866471,0.016229582004598342,0,1.0
22,Q-Learning,0.6566254283866471,0.07490686600795016,0,1.0
22,QAOA(p=2),0.6566254283866471,4.746747030003462,0,1.0
23,Exact,1.0747467359919085,0.0026963199925376102,0,1.0
23,Greedy,1.0747467359919085,2.5303990696556866e-05,0,1.0
23,MILP,1.0747467359919085,0.0011661190073937178,0,1.0
23,SimulatedAnnealing,1.0747467359919085,0.013409519000560977,0,1.0
23,Q-Learning,1.0747467359919085,0.06373787499614991,0,1.0
23,QAOA(p=2),1.9572029929437065,3.7584570899925893,0,1.8210829839249139
24,Exact,0.7604027804858902,0.0024821319966576993,0,1.0
24,Greedy,0.7604027804858902,2.3257991415448487e-05,0,1.0
24,MILP,0.7604027804858902,0.0010586959979264066,0,1.0
24,SimulatedAnnealing,0.7604027804858902,0.012314003994106315,0,1.0
24,Q-Learning,0.7604027804858902,0.06073406200448517,0,1.0
24,QAOA(p=2),1.7118821346743118,3.8630441010027425,2,2.25128337061108
25,Exact,1.1666574184929175,0.002075427008094266,0,1.0
25,Greedy,1.1666574184929175,2.8775000828318298e-05,0,1.0
25,MILP,1.1666574184929175,0.0014515510119963437,0,1.0
25,SimulatedAnnealing,1.1666574184929175,0.015618211007677019,0,1.0
25,Q-Learning,1.1666574184929175,0.04941070798668079,0,1.0
