seed,attack_intensity,condition,availability,security_compliance,mean_risk_of_solution
9,0.875,QOPT_QTRACE,1.0,1.0,0.16955165472880163
9,1.0,Static,1.0,1.0,0.20091670256901079
9,1.0,TrustOnly,1.0,1.0,0.46149235299351327
9,1.0,QOPT_Oracle,1.0,1.0,0.1798325480566304
9,1.0,QOPT_QTRACE,1.0,1.0,0.17790750788159246
10,0.0,Static,1.0,1.0,0.08087348195975261
10,0.0,TrustOnly,1.0,0.75,0.020911774972593607
10,0.0,QOPT_Oracle,1.0,1.0,0.08087348195975261
10,0.0,QOPT_QTRACE,1.0,1.0,0.08715589783083341
10,0.125,Static,1.0,1.0,0.11196162935317173
10,0.125,TrustOnly,1.0,0.75,0.028817721852243783
10,0.125,QOPT_Oracle,1.0,1.0,0.07132477465281759
10,0.125,QOPT_QTRACE,1.0,1.0,0.06802066630065935
10,0.25,Static,1.0,1.0,0.13497274503837067
10,0.25,TrustOnly,1.0,0.75,0.03551335305813488
10,0.25,QOPT_Oracle,1.0,1.0,0.08669591710091944
10,0.25,QOPT_QTRACE,1.0,1.0,0.0968793618024067
10,0.375,Static,1.0,1.0,0.1706346072677085
10,0.375,TrustOnly,1.0,0.75,0.04505449906534754
10,0.375,QOPT_Oracle,1.0,1.0,0.10918721378437309
10,0.375,QOPT_QTRACE,1.0,1.0,0.11091012898496456
10,0.5,Static,1.0,1.0,0.20163062438354706
10,0.5,TrustOnly,1.0,0.75,0.0515415830622409
10,0.5,QOPT_Oracle,1.0,1.0,0.12498972940245234
10,0.5,QOPT_QTRACE,1.0,1.0,0.12697750712841138
10,0.625,Static,1.0,1.0,0.23348931135699855
10,0.625,TrustOnly,1.0,0.75,0.05987308007831815
10,0.625,QOPT_Oracle,1.0,1.0,0.1325383161248841
10,0.625,QOPT_QTRACE,1.0,1.0,0.1488381153082791
10,0.75,Static,1.0,1.0,0.24914944144790935
10,0.75,TrustOnly,1.0,1.0,0.3609819227499031
10,0.75,QOPT_Oracle,1.0,1.0,0.15056140717506486
10,0.75,QOPT_QTRACE,1.0,1.0,0.15173107254955348
10,0.875,Static,1.0,1.0,0.2851141287279864
10,0.875,TrustOnly,1.0,1.0,0.42618130498477336
10,0.875,QOPT_Oracle,1.0,1.0,0.16099336828991365
10,0.875,QOPT_QTRACE,1.0,1.0,0.16394980813422433
10,1.0,Static,1.0,1.0,0.31149004585289913
10,1.0,TrustOnly,1.0,1.0,0.46312761676235853
10,1.0,QOPT_Oracle,1.0,1.0,0.17529628416220447
10,1.0,QOPT_QTRACE,1.0,1.0,0.1683062497940938
11,0.0,Static,1.0,1.0,0.07993179116878305
11,0.0,TrustOnly,1.0,0.75,0.0209839373371571
11,0.0,QOPT_Oracle,1.0,1.0,0.07993179116878305
11,0.0,QOPT_QTRACE,1.0,1.0,0.08865666567837498
11,0.125,Static,1.0,1.0,0.11114511977749113
11,0.125,TrustOnly,1.0,0.75,0.028574666652088417
11,0.125,QOPT_Oracle,1.0,1.0,0.07091772175437562
11,0.125,QOPT_QTRACE,1.0,1.0,0.072118318651091
11,0.25,Static,1.0,1.0,0.14202717178931007
11,0.25,TrustOnly,1.0,0.75,0.036609490503760576
11,0.25,QOPT_Oracle,1.0,1.0,0.09115230457154234
11,0.25,QOPT_QTRACE,1.0,1.0,0.08093641490185643
11,0.375,Static,1.0,1.0,0.16672987695477873
11,0.375,TrustOnly,1.0,0.75,0.04315567026816302
11,0.375,QOPT_Oracle,1.0,1.0,0.10502108545489328
11,0.375,QOPT_QTRACE,1.0,1.0,0.10213104882463116
11,0.5,Static,1.0,1.0,0.1900085922234946
11,0.5,TrustOnly,1.0,0.75,0.049921099123100644
11,0.5,QOPT_Oracle,1.0,1.0,0.11810434111975229
11,0.5,QOPT_QTRACE,1.0,1.0,0.11523112396453164
11,0.625,Static,1.0,1.0,0.23027157727488642
11,0.625,TrustOnly,1.0,0.75,0.059927261371076526
11,0.625,QOPT_Oracle,1.0,1.0,0.144890245036752
11,0.625,QOPT_QTRACE,1.0,1.0,0.14514577449251748
11,0.75,Static,1.0,1.0,0.25909466380708635
11,0.75,TrustOnly,1.0,1.0,0.38547605543126695
11,0.75,QOPT_Oracle,1.0,1.0,0.14851063022991
11,0.75,QOPT_QTRACE,1.0,1.0,0.15220257820387242
11,0.875,Static,1.0,1.0,0.27900382624244785
