noise_strength,seed,best_sampled_energy,approximation_ratio,success_probability
0.15,16,0.5606499999999963,0.9999999999999952,0.01611328125
0.25,16,0.5606499999999963,0.9999999999999952,0.01220703125
0.0,17,0.5640999999999963,0.9999999999999937,0.0029296875
0.005,17,0.5640999999999963,0.9999999999999937,0.00390625
0.01,17,0.5640999999999963,0.9999999999999937,0.00439453125
0.02,17,0.5640999999999963,0.9999999999999937,0.01123046875
0.04,17,0.5640999999999963,0.9999999999999937,0.00927734375
0.08,17,0.5640999999999963,0.9999999999999937,0.01416015625
0.15,17,0.5640999999999963,0.9999999999999937,0.0205078125
0.25,17,0.5640999999999963,0.9999999999999937,0.01806640625
0.0,18,0.5606499999999972,0.9999999999999968,0.060546875
0.005,18,0.5606499999999972,0.9999999999999968,0.06298828125
0.01,18,0.5606499999999972,0.9999999999999968,0.046875
0.02,18,0.5606499999999972,0.9999999999999968,0.04052734375
0.04,18,0.5606499999999972,0.9999999999999968,0.02294921875
0.08,18,0.5606499999999972,0.9999999999999968,0.01708984375
0.15,18,0.5606499999999972,0.9999999999999968,0.0166015625
0.25,18,0.5606499999999972,0.9999999999999968,0.0126953125
0.0,19,0.8134499999999996,1.0,0.04541015625
0.005,19,0.8134499999999996,1.0,0.029296875
0.01,19,0.8134499999999996,1.0,0.02978515625
0.02,19,0.8134499999999996,1.0,0.02587890625
0.04,19,0.8134499999999996,1.0,0.01953125
0.08,19,0.8134499999999996,1.0,0.02197265625
0.15,19,0.8134499999999996,1.0,0.015625
0.25,19,0.8134499999999996,1.0,0.01904296875
0.0,20,1.2720599999999997,1.4930281690140836,0.0
0.005,20,0.8520000000000003,1.0,0.00146484375
0.01,20,0.8520000000000003,1.0,0.00244140625
0.02,20,0.8520000000000003,1.0,0.0087890625
0.04,20,0.8520000000000003,1.0,0.005859375
0.08,20,0.8520000000000003,1.0,0.0185546875
0.15,20,0.8520000000000003,1.0,0.0126953125
0.25,20,0.8520000000000003,1.0,0.01416015625
0.0,21,0.4376999999999982,0.999999999999997,0.08642578125
0.005,21,0.4376999999999982,0.999999999999997,0.07470703125
0.01,21,0.4376999999999982,0.999999999999997,0.0556640625
0.02,21,0.4376999999999982,0.999999999999997,0.04833984375
0.04,21,0.4376999999999982,0.999999999999997,0.0244140625
0.08,21,0.4376999999999982,0.999999999999997,0.01904296875
0.15,21,0.4376999999999982,0.999999999999997,0.01318359375
0.25,21,0.4376999999999982,0.999999999999997,0.01513671875
0.0,22,0.8940000000000037,1.000000000000002,0.009765625
0.005,22,0.8940000000000037,1.000000000000002,0.00830078125
0.01,22,0.8940000000000037,1.000000000000002,0.0078125
0.02,22,0.8940000000000037,1.000000000000002,0.0126953125
0.04,22,0.8940000000000037,1.000000000000002,0.0126953125
0.08,22,0.8940000000000037,1.000000000000002,0.017578125
0.15,22,0.8940000000000037,1.000000000000002,0.01806640625
0.25,22,0.8940000000000037,1.000000000000002,0.01025390625
0.0,23,0.8099999999999943,0.9999999999999946,0.02783203125
0.005,23,0.8099999999999943,0.9999999999999946,0.0234375
0.01,23,0.8099999999999943,0.9999999999999946,0.02001953125
0.02,23,0.8099999999999943,0.9999999999999946,0.025390625
