attack_intensity,seed,availability,security_compliance,mean_key_pool_frac,mean_risk,frac_qkd,frac_pqc,frac_hybrid
0.8,12,1.0,1.0,0.2529190616248994,0.4707434008221741,0.25,0.75,0.0
0.8,13,1.0,1.0,0.19670876029547657,0.48379831143542207,0.0,1.0,0.0
0.8,14,1.0,1.0,0.2690218144827558,0.46889108450850026,0.0,0.75,0.25
0.8,15,1.0,1.0,0.23873672837410606,0.4715288262476247,0.25,0.75,0.0
0.8,16,1.0,1.0,0.27028830077297744,0.46314514314352284,0.25,0.75,0.0
0.8,17,1.0,1.0,0.23855998354495417,0.465650550502552,0.0,0.75,0.25
0.8,18,1.0,1.0,0.22793131642041065,0.47912904035392084,0.0,0.5,0.5
0.8,19,1.0,1.0,0.24142397514813915,0.46876756630517313,0.25,0.75,0.0
0.8,20,1.0,1.0,0.2546000359516103,0.4662689261981809,0.0,0.25,0.75
0.8,21,1.0,1.0,0.2419627927319179,0.4687940538610468,0.0,1.0,0.0
0.8,22,1.0,1.0,0.21945596041833335,0.4757371932721778,0.0,0.5,0.5
0.8,23,1.0,1.0,0.2615987671367133,0.4627111759745247,0.25,0.0,0.75
0.8,24,1.0,1.0,0.24300673934911138,0.46916481811396354,0.0,1.0,0.0
0.8,25,1.0,1.0,0.21804302793689181,0.4705429621558951,0.25,0.75,0.0
0.8,26,1.0,1.0,0.2117876010411086,0.4798911715854257,0.0,0.25,0.75
0.8,27,1.0,1.0,0.2466796598426882,0.4741520092718881,0.25,0.0,0.75
0.8,28,1.0,1.0,0.2538890165763999,0.46712949369517975,0.0,0.75,0.25
0.8,29,1.0,1.0,0.21227059762239392,0.47819940195242083,0.0,0.5,0.5
0.9,0,1.0,1.0,0.14878823373949435,0.5170760551257898,0.0,0.25,0.75
0.9,1,1.0,1.0,0.16264310244549668,0.518791196897009,0.25,0.75,0.0
0.9,2,1.0,1.0,0.15972084123742541,0.5223895402103234,0.0,0.5,0.5
0.9,3,1.0,1.0,0.15041300799733656,0.5190846997469281,0.0,1.0,0.0
