topology,n_nodes,seed,n_qubits,solver,objective,runtime_s,violations,approximation_ratio
C,10,29,12,Exact,0.9314520573553651,0.00029655799153260887,0,1.0
C,10,29,12,QAOA(p=2),0.9314520573553651,1.281914405990392,0,1.0
D,15,0,12,Greedy,0.8962982124605432,1.1785014066845179e-05,0,1.0
D,15,0,12,MILP,0.8962982124605432,0.0009515150013612583,0,1.0
D,15,0,12,SimulatedAnnealing,0.8962982124605432,0.011297663004370406,0,1.0
D,15,0,12,Exact,0.8962982124605432,0.0003678110078908503,0,1.0
D,15,0,12,QAOA(p=2),1.0036673622992112,1.2340323759999592,0,1.1197917705803686
D,15,1,12,Greedy,1.1479756373524381,1.178099773824215e-05,0,1.0
D,15,1,12,MILP,1.1479756373524381,0.000892975993338041,0,1.0
D,15,1,12,SimulatedAnnealing,1.1479756373524381,0.011304366998956539,0,1.0
D,15,1,12,Exact,1.1479756373524381,0.0002728429972194135,0,1.0
D,15,1,12,QAOA(p=2),1.1479756373524381,1.131708022003295,0,1.0
D,15,2,12,Greedy,0.7172274838630486,1.276700641028583e-05,0,1.0
D,15,2,12,MILP,0.7172274838630486,0.001085598996724002,0,1.0
D,15,2,12,SimulatedAnnealing,0.7172274838630486,0.013301831000717357,0,1.0
D,15,2,12,Exact,0.7172274838630486,0.00029067399736959487,0,1.0
D,15,2,12,QAOA(p=2),0.7172274838630486,1.1584457559947623,0,1.0
D,15,3,12,Greedy,0.9778213984249646,1.327400968875736e-05,0,1.0
D,15,3,12,MILP,0.9778213984249646,0.0009873189992504194,0,1.0
D,15,3,12,SimulatedAnnealing,0.9778213984249646,0.011989290011115372,0,1.0
D,15,3,12,Exact,0.9778213984249646,0.0003833579976344481,0,1.0
D,15,3,12,QAOA(p=2),0.9778213984249646,1.2033807679981692,0,1.0
D,15,4,12,Greedy,0.9799330923588769,1.2083008186891675e-05,0,1.0
D,15,4,12,MILP,0.9799330923588769,0.001004323989036493,0,1.0
D,15,4,12,SimulatedAnnealing,0.9799330923588769,0.012129038004786707,0,1.0
D,15,4,12,Exact,0.9799330923588769,0.00027106200286652893,0,1.0
D,15,4,12,QAOA(p=2),0.9875916477440825,1.0582919559965376,0,1.0078153860145391
D,15,5,12,Greedy,1.3486026289887576,1.1387004633434117e-05,0,1.0
D,15,5,12,MILP,1.3486026289887576,0.0010847209923667833,0,1.0
D,15,5,12,SimulatedAnnealing,1.3486026289887576,0.011562198007595725,0,1.0
D,15,5,12,Exact,1.3486026289887576,0.0002494220098014921,0,1.0
D,15,5,12,QAOA(p=2),1.3655883198330372,1.0588532099936856,0,1.012595030203238
D,15,6,12,Greedy,0.9249231813710281,1.3860000763088465e-05,0,1.0
D,15,6,12,MILP,0.9249231813710281,0.0011701629991875961,0,1.0
D,15,6,12,SimulatedAnnealing,0.9249231813710281,0.013317028002347797,0,1.0
D,15,6,12,Exact,0.9249231813710281,0.0003538210003171116,0,1.0
D,15,6,12,QAOA(p=2),0.9249231813710281,0.972937844999251,0,1.0
D,15,7,12,Greedy,1.1390190107831586,1.2075994163751602e-05,0,1.0
D,15,7,12,MILP,1.1390190107831586,0.0009715199994388968,0,1.0
D,15,7,12,SimulatedAnnealing,1.1390190107831586,0.01300213900685776,0,1.0
D,15,7,12,Exact,1.1390190107831586,0.0002644829946802929,0,1.0
D,15,7,12,QAOA(p=2),1.1390190107831586,1.3624891139916144,0,1.0
D,15,8,12,Greedy,1.3307298292762582,1.2072996469214559e-05,0,1.0
D,15,8,12,MILP,1.3307298292762582,0.0010023470094893128,0,1.0
D,15,8,12,SimulatedAnnealing,1.3307298292762582,0.011812037002528086,0,1.0
D,15,8,12,Exact,1.3307298292762582,0.00027500500436872244,0,1.0
D,15,8,12,QAOA(p=2),1.4428964904428057,1.1754391389986267,0,1.0842895820765899
D,15,9,12,Greedy,0.5745175365301805,1.2367992894724011e-05,0,1.0
D,15,9,12,MILP,0.5745175365301805,0.0010344000038458034,0,1.0
D,15,9,12,SimulatedAnnealing,0.5745175365301805,0.01272093498846516,0,1.0
D,15,9,12,Exact,0.5745175365301805,0.00027715299802366644,0,1.0
D,15,9,12,QAOA(p=2),0.5745175365301805,1.0895734410005389,0,1.0
D,15,10,12,Greedy,1.2979185525828854,1.291598891839385e-05,0,1.0
D,15,10,12,MILP,1.2979185525828854,0.0010799390001920983,0,1.0
D,15,10,12,SimulatedAnnealing,1.2979185525828854,0.012732028990285471,0,1.0
D,15,10,12,Exact,1.2979185525828854,0.00029023000388406217,0,1.0
D,15,10,12,QAOA(p=2),1.3893216237601678,1.0603656909952406,0,1.070422809655805
D,15,11,12,Greedy,1.4645862329309267,1.5981000615283847e-05,0,1.0
D,15,11,12,MILP,1.4645862329309267,0.001232816997799091,0,1.0
D,15,11,12,SimulatedAnnealing,1.4645862329309267,0.019042865998926573,0,1.0
D,15,11,12,Exact,1.4645862329309267,0.00032864700187928975,0,1.0
D,15,11,12,QAOA(p=2),1.4906427509879308,1.273834909996367,0,1.0177910439625393
D,15,12,12,Greedy,0.9639566768126642,1.3149008736945689e-05,0,1.0
D,15,12,12,MILP,0.9639566768126642,0.0011423870018916205,0,1.0
D,15,12,12,SimulatedAnnealing,0.9639566768126642,0.013750047000939958,0,1.0
D,15,12,12,Exact,0.9639566768126642,0.00029502199322450906,0,1.0
D,15,12,12,QAOA(p=2),0.9639566768126642,1.063448899993091,0,1.0
D,15,13,12,Greedy,0.8255479527924763,1.3604993000626564e-05,0,1.0
D,15,13,12,MILP,0.8255479527924763,0.0011569579946808517,0,1.0
D,15,13,12,SimulatedAnnealing,0.8255479527924763,0.012954345991602167,0,1.0
D,15,13,12,Exact,0.8255479527924763,0.00032059301156550646,0,1.0
D,15,13,12,QAOA(p=2),0.8255479527924763,0.9683120919944486,0,1.0
D,15,14,12,Greedy,0.49953899335554297,1.1822994565591216e-05,0,1.0
D,15,14,12,MILP,0.49953899335554297,0.0009950480016414076,0,1.0
D,15,14,12,SimulatedAnnealing,0.49953899335554297,0.012191707995953038,0,1.0
D,15,14,12,Exact,0.49953899335554297,0.00026784700457938015,0,1.0
D,15,14,12,QAOA(p=2),0.49953899335554297,1.21896016599203,0,1.0
D,15,15,12,Greedy,0.5866372626608047,1.3409997336566448e-05,0,1.0
D,15,15,12,MILP,0.5866372626608047,0.0011667879880405962,0,1.0
D,15,15,12,SimulatedAnnealing,0.5866372626608047,0.01369373699708376,0,1.0
D,15,15,12,Exact,0.5866372626608047,0.0003170689888065681,0,1.0
D,15,15,12,QAOA(p=2),0.5866372626608047,1.1151176300045336,0,1.0
D,15,16,12,Greedy,1.5023355896647388,1.1502997949719429e-05,0,1.0
D,15,16,12,MILP,1.5023355896647388,0.0009559210011502728,0,1.0
D,15,16,12,SimulatedAnnealing,1.5023355896647388,0.012162618004367687,0,1.0
D,15,16,12,Exact,1.5023355896647388,0.0002744470111792907,0,1.0
D,15,16,12,QAOA(p=2),1.5023355896647388,1.3903533099946799,0,1.0
D,15,17,12,Greedy,0.8025899424665255,1.2079995940439403e-05,0,1.0
D,15,17,12,MILP,0.8025899424665255,0.0010302330047124997,0,1.0
D,15,17,12,SimulatedAnnealing,0.8025899424665255,0.01161623900406994,0,1.0
D,15,17,12,Exact,0.8025899424665255,0.0003043189935851842,0,1.0
D,15,17,12,QAOA(p=2),0.8025899424665255,1.3483680170029402,0,1.0
D,15,18,12,Greedy,1.3151916408805207,2.8072012355551124e-05,0,1.0
D,15,18,12,MILP,1.3151916408805207,0.0009186430106637999,0,1.0
D,15,18,12,SimulatedAnnealing,1.3151916408805207,0.012776085000950843,0,1.0
D,15,18,12,Exact,1.3151916408805207,0.0002472299966029823,0,1.0
D,15,18,12,QAOA(p=2),1.3151916408805207,0.9592324599943822,0,1.0
D,15,19,12,Greedy,1.3799720817434888,3.1126997782848775e-05,0,1.0
D,15,19,12,MILP,1.3799720817434888,0.001050418009981513,0,1.0
D,15,19,12,SimulatedAnnealing,1.3799720817434888,0.011495147991809063,0,1.0
D,15,19,12,Exact,1.3799720817434888,0.0005511819908861071,0,1.0
