seed,ablation,full_objective_of_ablated_solution,delta_vs_full
18,NoKeyPool (w_K=0),1.6733940567490038,0.0
18,NoComputeCost (w_C=0),2.0344250268455824,0.3610309700965786
18,NoDisruption (w_D=0),1.6733940567490038,0.0
18,NoSecurityFloor (penalty=0),19.194722647809527,17.521328591060524
19,Full,1.4390771900273478,0.0
19,NoRisk (w_R=0),1.607183552670108,0.16810636264276013
19,NoKeyPool (w_K=0),1.4390771900273478,0.0
19,NoComputeCost (w_C=0),1.6851215898437601,0.24604439981641235
19,NoDisruption (w_D=0),1.4390771900273478,0.0
19,NoSecurityFloor (penalty=0),6.833505166405843,5.394427976378495
20,Full,1.7543266419210397,0.0
20,NoRisk (w_R=0),1.7543266419210397,0.0
20,NoKeyPool (w_K=0),1.7900153398420287,0.03568869792098894
20,NoComputeCost (w_C=0),2.3903342675379804,0.6360076256169407
20,NoDisruption (w_D=0),1.7543266419210397,0.0
20,NoSecurityFloor (penalty=0),28.71931036608646,26.96498372416542
21,Full,1.248987646715392,0.0
21,NoRisk (w_R=0),1.7892087464674944,0.5402210997521024
21,NoKeyPool (w_K=0),1.248987646715392,0.0
21,NoComputeCost (w_C=0),1.3567471210959354,0.10775947438054345
21,NoDisruption (w_D=0),1.248987646715392,0.0
21,NoSecurityFloor (penalty=0),1.248987646715392,0.0
22,Full,1.3350246642078787,0.0
22,NoRisk (w_R=0),1.4010546541130395,0.06602998990516085
22,NoKeyPool (w_K=0),1.3964567735178832,0.061432109310004535
22,NoComputeCost (w_C=0),1.363902312739583,0.02887764853170438
22,NoDisruption (w_D=0),1.3350246642078787,0.0
22,NoSecurityFloor (penalty=0),19.64563499764003,18.31061033343215
23,Full,2.4070602112741426,0.0
23,NoRisk (w_R=0),2.4070602112741426,0.0
23,NoKeyPool (w_K=0),2.5353017551844914,0.1282415439103488
23,NoComputeCost (w_C=0),2.828752621478202,0.42169241020405934
23,NoDisruption (w_D=0),2.4070602112741426,0.0
23,NoSecurityFloor (penalty=0),29.72907864239778,27.322018431123638
24,Full,1.1491149069026108,0.0
24,NoRisk (w_R=0),1.3168686956021816,0.1677537886995708
24,NoKeyPool (w_K=0),1.1491149069026108,0.0
24,NoComputeCost (w_C=0),1.1491149069026108,0.0
24,NoDisruption (w_D=0),1.2540630526313805,0.10494814572876976
24,NoSecurityFloor (penalty=0),1.1491149069026108,0.0
25,Full,1.4098506921813794,0.0
25,NoRisk (w_R=0),1.4098506921813794,0.0
25,NoKeyPool (w_K=0),1.5754732706513437,0.1656225784699643
25,NoComputeCost (w_C=0),1.7388717483708547,0.3290210561894753
25,NoDisruption (w_D=0),1.4098506921813794,0.0
25,NoSecurityFloor (penalty=0),6.588289599106503,5.178438906925123
26,Full,1.6667154000123219,0.0
26,NoRisk (w_R=0),1.6667154000123219,0.0
26,NoKeyPool (w_K=0),1.67658058185458,0.009865181842258153
26,NoComputeCost (w_C=0),1.9554719993325875,0.28875659932026565
26,NoDisruption (w_D=0),1.6667154000123219,0.0
26,NoSecurityFloor (penalty=0),21.245421796718432,19.57870639670611
27,Full,1.9837885320984299,0.0
27,NoRisk (w_R=0),2.0829402514032154,0.0991517193047855
27,NoKeyPool (w_K=0),1.9837885320984299,0.0
27,NoComputeCost (w_C=0),2.7974030785444484,0.8136145464460185
27,NoDisruption (w_D=0),1.9837885320984299,0.0
27,NoSecurityFloor (penalty=0),33.08890031521611,31.105111783117678
28,Full,1.1269583297827523,0.0
28,NoRisk (w_R=0),1.1269583297827523,0.0
28,NoKeyPool (w_K=0),1.1269583297827523,0.0
28,NoComputeCost (w_C=0),1.443994788297715,0.31703645851496276
28,NoDisruption (w_D=0),1.1269583297827523,0.0
28,NoSecurityFloor (penalty=0),5.592779528676601,4.465821198893849
29,Full,1.5145212292640622,0.0
29,NoRisk (w_R=0),1.5145212292640622,0.0
29,NoKeyPool (w_K=0),1.5810312705305023,0.06651004126644011
29,NoComputeCost (w_C=0),1.9040203671681013,0.3894991379040391
29,NoDisruption (w_D=0),1.5145212292640622,0.0
29,NoSecurityFloor (penalty=0),11.069412007141636,9.554890777877574
